"Date","Open","High","Low","Close","Adj Close","Volume"
"Sep 01, 2009",9492.32,9917.99,9252.93,9712.28,9712.28,4478480000
"Aug 01, 2009",9173.65,9630.2,9116.52,9496.28,9496.28,4042210000
"Jul 01, 2009",8447.53,9246.43,8087.19,9171.61,9171.61,4902340000
"Jun 01, 2009",8501.53,8877.93,8259.43,8447,8447,5524080000
"May 01, 2009",8167.41,8591.93,8099.31,8500.33,8500.33,6734390000
"Apr 01, 2009",7606.13,8307.51,7483.87,8168.12,8168.12,7795900000
"Mar 01, 2009",7056.48,7931.33,6469.95,7608.92,7608.92,10561060000
"Feb 01, 2009",8000.62,8315.07,7033.62,7062.93,7062.93,7134360000
"Jan 01, 2009",8772.25,9088.06,7909.03,8000.86,8000.86,6261980000
"Dec 01, 2008",8826.89,9026.41,8118.5,8776.39,8776.39,5701870000
"Nov 01, 2008",9326.04,9653.95,7449.38,8829.04,8829.04,6262880000
"Oct 01, 2008",10847.4,10882.52,7882.51,9325.01,9325.01,8311580000
"Sep 01, 2008",11545.63,11790.17,10365.45,10850.66,10850.66,6302330000
"Aug 01, 2008",11379.89,11867.11,11221.53,11543.96,11543.96,3578210000
"Jul 01, 2008",11344.64,11698.17,10827.71,11378.02,11378.02,5551580000
"Jun 01, 2008",12637.67,12638.08,11287.56,11350.01,11350.01,5309950000
"May 01, 2008",12818.34,13136.69,12442.59,12638.32,12638.32,4530790000
"Apr 01, 2008",12266.64,13010,12266.47,12820.13,12820.13,5050840000
"Mar 01, 2008",12264.36,12622.07,11731.6,12262.89,12262.89,6229020000
"Feb 01, 2008",12638.17,12767.74,12069.47,12266.39,12266.39,5720360000
"Jan 01, 2008",13261.82,13279.54,11634.82,12650.36,12650.36,7459830000
"Dec 01, 2007",13368.22,13780.11,13092,13264.82,13264.82,4310320000
"Nov 01, 2007",13924.16,13924.16,12724.09,13371.72,13371.72,5980230000
"Oct 01, 2007",13895.71,14198.1,13407.49,13930.01,13930.01,5010920000
"Sep 01, 2007",13358.39,13924.81,13021.93,13895.63,13895.63,4328370000
"Aug 01, 2007",13211.09,13695.82,12517.94,13357.74,13357.74,6199120000
"Jul 01, 2007",13409.6,14021.95,13199.79,13211.99,13211.99,5512040000
"Jun 01, 2007",13628.69,13692,13251.53,13408.62,13408.62,5227620000
"May 01, 2007",13062.75,13673.07,13041.3,13627.64,13627.64,5039850000
"Apr 01, 2007",12354.52,13162.06,12324.28,13062.91,13062.91,4819810000
"Mar 01, 2007",12268.63,12511.05,11939.61,12354.35,12354.35,5633180000
"Feb 01, 2007",12617.2,12795.93,12086.06,12268.63,12268.63,4347420000
"Jan 01, 2007",12459.54,12657.02,12337.37,12621.69,12621.69,5075440000
"Dec 01, 2006",12220.97,12529.88,12089.98,12463.15,12463.15,4381310000
"Nov 01, 2006",12080.25,12361,11965.31,12221.93,12221.93,4722850000
"Oct 01, 2006",11678.99,12167.02,11653.06,12080.73,12080.73,5665820000
"Sep 01, 2006",11382.75,11741.99,11323.84,11679.07,11679.07,4494890000
"Aug 01, 2006",11184.8,11407.08,11042.64,11381.15,11381.15,4668650000
"Jul 01, 2006",11149.34,11257.08,10683.32,11185.68,11185.68,5548680000
"Jun 01, 2006",11169.03,11285.82,10698.85,11150.22,11150.22,6959660000
"May 01, 2006",11367.78,11670.19,11030.47,11168.31,11168.31,7360590000
"Apr 01, 2006",11113,11417.66,11039.12,11367.14,11367.14,5584020000
"Mar 01, 2006",10993.25,11334.96,10922.73,11109.32,11109.32,6680180000
"Feb 01, 2006",10862.14,11159.18,10737.67,10993.41,10993.41,5759090000
"Jan 01, 2006",10718.3,11047.76,10661.15,10864.86,10864.86,6552210000
"Dec 01, 2005",10806.03,10940.34,10709.42,10717.5,10717.5,5223910000
"Nov 01, 2005",10440.07,10959.79,10388.76,10805.87,10805.87,5385780000
"Oct 01, 2005",10569.5,10608.56,10156.46,10440.07,10440.07,5829060000
"Sep 01, 2005",10481.44,10701.81,10350.96,10568.7,10568.7,5229310000
"Aug 01, 2005",10641.78,10719.41,10349.37,10481.6,10481.6,5082400000
"Jul 01, 2005",10273.59,10717.73,10175.4,10640.91,10640.91,4821200000
"Jun 01, 2005",10462.86,10656.29,10253.49,10274.97,10274.97,5026730000
